planet,pradius,star,cluster,normalradius,sradius,luminosity,distance
Kepler-111 c,7.29,Kepler-111,565,1,4,1.515156,
Kepler-289 b,2.43,Kepler-289,761,1,4,1.492879,
Kepler-289 c,13.03,Kepler-289,761,1,4,1.492879,
KOI-206 b,7.84,KOI-206,994,1,4,1.339091,
KOI-680 b,7.28,KOI-680,999,1,4,1.628157,
OGLE-TR-10 b,19.26,OGLE-TR-10,1042,1,4,1.644337,1500
CoRoT-4 b,13.33,CoRoT-4,70,1,4,1.742,
HD 208487 b,8.41,HD 208487,360,1,4,1.466261,45
HD 222582 b,11.66,HD 222582,388,1,4,1.219453,42
HD 79498 b,10.76,HD 79498,488,1,4,1.283489,49
Kepler-110 b,1.83,Kepler-110,564,1,4,1.497168,
Kepler-110 c,2.21,Kepler-110,564,1,4,1.497168,
Kepler-164 b,1.41,Kepler-164,621,1,4,1.426122,
Kepler-164 c,2.73,Kepler-164,621,1,4,1.426122,
Kepler-164 d,2.45,Kepler-164,621,1,4,1.426122,
Kepler-182 b,2.58,Kepler-182,644,1,4,1.810529,
Kepler-182 c,3.43,Kepler-182,644,1,4,1.810529,
Kepler-193 b,2.39,Kepler-193,656,1,4,1.91105,
Kepler-193 c,2.74,Kepler-193,656,1,4,1.91105,
Kepler-400 b,1.65,Kepler-400,884,1,4,1.424185,
Kepler-400 c,1.49,Kepler-400,884,1,4,1.424185,
WASP-24 b,14.56,WASP-24,1117,1,4,1.607688,330
WASP-4 b,15.62,WASP-4,1132,1,4,1.085766,300
WASP-47 b,12.88,WASP-47,1139,1,4,1.008929,200
WTS-1 b,16.69,WTS-1,1192,1,4,1.810529,3200
CoRoT-22 b,4.88,CoRoT-22,63,1,4,1.440456,592
HAT-P-5 b,14.02,HAT-P-5,168,1,4,1.46351,340
HD 145377 b,11.68,HD 145377,265,1,4,1.558017,57.7
HD 178911 B b,11.68,HD 178911 B,319,1,4,1.18821,46.73
HD 197037 b,9.82,HD 197037,345,1,4,1.648268,33
HD 68988 b,11.21,HD 68988,471,1,4,1.289732,58
HD 96700 b,1.93,HD 96700,519,1,4,1.433771,25.6
HD 96700 c,4,HD 96700,519,1,4,1.433771,25.6
Kepler-188 b,1.68,Kepler-188,650,1,4,1.532407,
Kepler-188 c,3.19,Kepler-188,650,1,4,1.532407,
Kepler-372 b,1.36,Kepler-372,852,1,4,2.092939,
Kepler-372 c,2.08,Kepler-372,852,1,4,2.092939,
Kepler-372 d,1.69,Kepler-372,852,1,4,2.092939,
OGLE-TR-182 b,16.46,OGLE-TR-182,1046,1,4,1.436018,
WASP-60 b,10.08,WASP-60,1153,1,4,1.412888,400
HD 23079 b,11.45,HD 23079,391,1,4,1.339912,34.8
HD 4113 b,10.97,HD 4113,436,1,4,1.188243,44
Kepler-130 b,1.02,Kepler-130,585,1,4,1.373212,
Kepler-130 d,1.64,Kepler-130,585,1,4,1.373212,
Kepler-385 b,2.73,Kepler-385,866,1,4,1.834694,
Kepler-385 c,3.04,Kepler-385,866,1,4,1.834694,
Kepler-392 b,1,Kepler-392,874,1,4,1.42432,
Kepler-392 c,1.1,Kepler-392,874,1,4,1.42432,
Kepler-394 b,1.6,Kepler-394,876,1,4,1.924463,
Kepler-394 c,1.66,Kepler-394,876,1,4,1.924463,
KOI-1257 A b,10.53,KOI-1257 A,987,1,4,1.063661,900
WASP-22 b,12.97,WASP-22,1115,1,4,1.484745,300
WASP-95 b,13.55,WASP-95,1183,1,4,1.151013,
CoRoT-12 b,16.13,CoRoT-12,53,1,4,1.158995,1150
HD 12661 b,11.39,HD 12661,239,1,4,1.223429,37.16
HD 12661 c,10.98,HD 12661,239,1,4,1.223429,37.16
HD 168746 b,7.1,HD 168746,306,1,4,1.11475,43.12
HD 204313 b,11.63,HD 204313,352,1,4,1.244534,47.37
HD 204313 c,4.42,HD 204313,352,1,4,1.244534,47.37
HD 204313 d,11.06,HD 204313,352,1,4,1.244534,47.37
HD 30177 b,11.66,HD 30177,411,1,4,0.901514,55
HD 82943 b,11.68,HD 82943,493,1,4,1.339867,27.46
HD 82943 c,11.68,HD 82943,493,1,4,1.339867,27.46
HD 82943 d,7.61,HD 82943,493,1,4,1.339867,27.46
Kepler-197 b,1.02,Kepler-197,660,1,4,1.462476,
Kepler-197 c,1.23,Kepler-197,660,1,4,1.462476,
Kepler-197 d,1.22,Kepler-197,660,1,4,1.462476,
Kepler-197 e,0.91,Kepler-197,660,1,4,1.462476,
Kepler-76 b,14,Kepler-76,948,1,4,1.772915,
CoRoT-1 b,16.69,CoRoT-1,50,1,4,1.739188,460
HD 50554 b,11.68,HD 50554,453,1,4,1.341321,31.03
Kepler-168 b,1.46,Kepler-168,625,1,4,1.721582,
Kepler-168 c,2.69,Kepler-168,625,1,4,1.721582,
Kepler-18 b,2,Kepler-18,640,1,4,0.924841,
Kepler-18 c,5.48,Kepler-18,640,1,4,0.924841,
Kepler-18 d,6.96,Kepler-18,640,1,4,0.924841,
Kepler-203 b,2.56,Kepler-203,667,1,4,1.269189,
Kepler-203 c,2.46,Kepler-203,667,1,4,1.269189,
Kepler-203 d,1.43,Kepler-203,667,1,4,1.269189,
Kepler-234 b,3.7,Kepler-234,701,1,4,1.658877,
Kepler-234 c,3.51,Kepler-234,701,1,4,1.658877,
Kepler-320 b,1.14,Kepler-320,796,1,4,1.895527,
Kepler-320 c,1.37,Kepler-320,796,1,4,1.895527,
WASP-32 b,13.22,WASP-32,1124,1,4,1.530577,
HAT-P-21 b,11.47,HAT-P-21,138,1,4,1.068169,254
HAT-P-28 b,13.57,HAT-P-28,145,1,4,1.136146,395
HAT-P-36 b,14.16,HAT-P-36,154,1,4,1.044835,317
HAT-P-43 b,14.37,HAT-P-43,162,1,4,1.110411,543
HATS-10 b,10.85,HATS-10,179,1,4,1.309555,496
HD 10647 b,10.14,HD 10647,205,1,4,1.443894,17.3
