planet,pradius,star,cluster,normalradius,sradius,luminosity,distance
Kepler-244 b,2.76,Kepler-244,712,1,4,0.546378,
Kepler-244 c,2.05,Kepler-244,712,1,4,0.546378,
Kepler-244 d,2.31,Kepler-244,712,1,4,0.546378,
Kepler-245 b,2.56,Kepler-245,713,1,4,0.388464,
Kepler-245 c,2.17,Kepler-245,713,1,4,0.388464,
Kepler-245 d,3.02,Kepler-245,713,1,4,0.388464,
Kepler-326 b,1.52,Kepler-326,802,1,4,0.389989,
Kepler-326 c,1.4,Kepler-326,802,1,4,0.389989,
Kepler-326 d,1.21,Kepler-326,802,1,4,0.389989,
Kepler-339 b,1.42,Kepler-339,816,1,4,0.577314,
Kepler-339 c,1.15,Kepler-339,816,1,4,0.577314,
Kepler-339 d,1.16,Kepler-339,816,1,4,0.577314,
KIC-5094412 b,5.71,KIC-5094412,976,1,4,0.45754,
KOI-830 b,12.1,KOI-830,1001,1,4,0.403923,730
CoRoT-10 b,10.86,CoRoT-10,51,1,4,0.37144,345
HAT-P-26 b,6.32,HAT-P-26,143,1,4,0.370728,134
HD 108341 b,11.62,HD 108341,211,1,4,0.385392,49.4
HD 20868 b,11.25,HD 20868,361,1,4,0.296005,48.9
HD 39194 b,1.53,HD 39194,431,1,4,0.389583,25.9
HD 39194 c,1.74,HD 39194,431,1,4,0.389583,25.9
HD 39194 d,1.67,HD 39194,431,1,4,0.389583,25.9
HD 70573 b,11.68,HD 70573,473,1,4,0.602327,45.7
Kepler-141 b,0.69,Kepler-141,596,1,4,0.325439,
Kepler-141 c,1.41,Kepler-141,596,1,4,0.325439,
Kepler-191 b,1.34,Kepler-191,654,1,4,0.435851,
Kepler-191 c,1.86,Kepler-191,654,1,4,0.435851,
Kepler-247 b,1.64,Kepler-247,715,1,4,0.377988,
Kepler-247 c,4.09,Kepler-247,715,1,4,0.377988,
Kepler-247 d,3.94,Kepler-247,715,1,4,0.377988,
Kepler-253 b,1.62,Kepler-253,722,1,4,0.411934,
Kepler-253 c,2.64,Kepler-253,722,1,4,0.411934,
Kepler-253 d,3.17,Kepler-253,722,1,4,0.411934,
Kepler-261 b,2.17,Kepler-261,731,1,4,0.378219,
Kepler-261 c,1.99,Kepler-261,731,1,4,0.378219,
Kepler-263 b,2.67,Kepler-263,733,1,4,0.430266,
Kepler-263 c,2.46,Kepler-263,733,1,4,0.430266,
Kepler-389 b,1.51,Kepler-389,870,1,4,0.467715,
Kepler-389 c,1.46,Kepler-389,870,1,4,0.467715,
KOI-1781 b,1.88,KOI-1781,989,1,4,0.342742,
tau Cet b,1.28,tau Cet,1074,1,4,0.460153,3.65
tau Cet c,1.45,tau Cet,1074,1,4,0.460153,3.65
tau Cet d,1.5,tau Cet,1074,1,4,0.460153,3.65
tau Cet e,1.59,tau Cet,1074,1,4,0.460153,3.65
tau Cet f,1.79,tau Cet,1074,1,4,0.460153,3.65
WASP-52 b,14.22,WASP-52,1144,1,4,0.349965,140
HD 114783 b,10.27,HD 114783,225,1,4,0.370734,20.4
HD 7924 b,11.76,HD 7924,487,1,4,0.392095,16.8
Kepler-195 b,2.03,Kepler-195,658,1,4,0.440212,
Kepler-195 c,1.55,Kepler-195,658,1,4,0.440212,
Kepler-196 b,1.9,Kepler-196,659,1,4,0.37746,
Kepler-196 c,2.24,Kepler-196,659,1,4,0.37746,
Kepler-352 b,0.86,Kepler-352,830,1,4,0.402807,
Kepler-352 c,1.24,Kepler-352,830,1,4,0.402807,
Kepler-390 b,0.82,Kepler-390,872,1,4,0.388774,
Kepler-390 c,0.78,Kepler-390,872,1,4,0.388774,
Kepler-413(AB) b,4.34,Kepler-413(AB),893,1,4,0.263704,
Kepler-67 b,2.91,Kepler-67,940,1,4,0.438615,1107
KIC-9704149 b,4.48,KIC-9704149,985,1,4,0.552326,
WASP-10 b,12.1,WASP-10,1091,1,4,0.262748,90
CoRoT-8 b,6.37,CoRoT-8,74,1,4,0.354263,380
HD 103197 b,5.39,HD 103197,198,1,4,0.414662,49.3
Kepler-165 b,2.32,Kepler-165,622,1,4,0.392243,
Kepler-165 c,2.23,Kepler-165,622,1,4,0.392243,
Kepler-37 b,0.32,Kepler-37,849,1,4,0.458043,66
Kepler-37 c,0.75,Kepler-37,849,1,4,0.458043,66
Kepler-37 d,1.94,Kepler-37,849,1,4,0.458043,66
Kepler-386 b,1.39,Kepler-386,867,1,4,0.382401,
Kepler-386 c,1.58,Kepler-386,867,1,4,0.382401,
Kepler-397 b,2.45,Kepler-397,879,1,4,0.421956,
Kepler-397 c,6.17,Kepler-397,879,1,4,0.421956,
OGLE-TR-113 b,12.43,OGLE-TR-113,1044,1,4,0.267743,1500
WASP-23 b,10.77,WASP-23,1116,1,4,0.369353,
CFBDS 1458 b,11.68,CFBDS 1458,48,1,4,0.000043,23.1
HD 114386 b,10.64,HD 114386,221,1,4,0.279476,28
HD 114386 c,10.57,HD 114386,221,1,4,0.279476,28
HD 13808 b,3.73,HD 13808,255,1,4,0.360356,28.6
HD 13808 c,3.86,HD 13808,255,1,4,0.360356,28.6
HD 143361 b,11.58,HD 143361,264,1,4,0.640976,59.35
HD 157172 b,5.77,HD 157172,289,1,4,0.636182,31.9
HD 87883 b,11.46,HD 87883,503,1,4,0.318738,18.1
Kepler-169 b,1.13,Kepler-169,626,1,4,0.323113,
Kepler-169 c,1.21,Kepler-169,626,1,4,0.323113,
Kepler-169 d,1.25,Kepler-169,626,1,4,0.323113,
Kepler-169 e,2.2,Kepler-169,626,1,4,0.323113,
Kepler-169 f,2.58,Kepler-169,626,1,4,0.323113,
Kepler-179 b,1.64,Kepler-179,639,1,4,0.409521,
Kepler-179 c,1.99,Kepler-179,639,1,4,0.409521,
Kepler-233 b,2.43,Kepler-233,700,1,4,0.427736,
Kepler-233 c,2.71,Kepler-233,700,1,4,0.427736,
Kepler-239 b,2.33,Kepler-239,706,1,4,0.302174,
Kepler-239 c,2.51,Kepler-239,706,1,4,0.302174,
Kepler-421 b,4.16,Kepler-421,897,1,4,0.408136,320
KOI-82 b,2.2,KOI-82,1000,1,4,0.277164,
KOI-82 c,1.34,KOI-82,1000,1,4,0.277164,
KOI-82 d,0.69,KOI-82,1000,1,4,0.277164,
LKCA 15 b,11.68,LKCA 15,1003,1,4,0.358704,145
WTS-2 b,14.56,WTS-2,1193,1,4,0.324743,1000
HAT-P-11 b,4.73,HAT-P-11,127,1,4,0.263466,38
HD 181433 b,1.85,HD 181433,325,1,4,0.301261,26.15
HD 181433 c,9.38,HD 181433,325,1,4,0.301261,26.15
HD 181433 d,9.01,HD 181433,325,1,4,0.301261,26.15
HD 192263 b,9.67,HD 192263,338,1,4,0.306683,19.9
Kepler-181 b,1.27,Kepler-181,643,1,4,0.408224,
Kepler-181 c,1.99,Kepler-181,643,1,4,0.408224,
Kepler-189 b,1.21,Kepler-189,651,1,4,0.379035,
Kepler-189 c,2.37,Kepler-189,651,1,4,0.379035,
Kepler-444 b,0.4,Kepler-444,912,1,4,0.328938,
Kepler-444 c,0.5,Kepler-444,912,1,4,0.328938,
Kepler-444 d,0.53,Kepler-444,912,1,4,0.328938,
Kepler-444 e,0.55,Kepler-444,912,1,4,0.328938,
Kepler-444 f,0.74,Kepler-444,912,1,4,0.328938,
KIC-6372194 b,8.29,KIC-6372194,980,1,4,0.378456,
WASP-84 b,10.55,WASP-84,1176,1,4,0.400294,120
BD-082823 b,4.16,BD-082823,35,1,4,0.249267,42.2
BD-082823 c,7.9,BD-082823,35,1,4,0.249267,42.2
GJ 160.2 b,3.72,GJ 160.2,93,1,4,0.174593,23.12
HD 21693 b,3.72,HD 21693,376,1,4,0.609663,32.4
HD 21693 c,4.69,HD 21693,376,1,4,0.609663,32.4
HD 22781 b,11.36,HD 22781,390,1,4,0.310872,31.79
Kepler-166 b,2.27,Kepler-166,623,1,4,0.421799,
Kepler-166 c,2.37,Kepler-166,623,1,4,0.421799,
Kepler-240 b,1.37,Kepler-240,708,1,4,0.303399,
Kepler-240 c,2.2,Kepler-240,708,1,4,0.303399,
Kepler-290 b,2.25,Kepler-290,763,1,4,0.344802,
Kepler-290 c,2.7,Kepler-290,763,1,4,0.344802,
Kepler-78 b,1.2,Kepler-78,950,1,4,0.329521,
BD14 4559 b,10.89,BD14 4559,42,1,4,0.256779,50
HD 103720 b,9.31,HD 103720,199,1,4,0.302909,41.6
HD 104067 b,6.65,HD 104067,201,1,4,0.288487,20.8
HD 128311 b,11.34,HD 128311,241,1,4,0.290544,16.6
HD 128311 c,11.59,HD 128311,241,1,4,0.290544,16.6
HD 166724 b,11.63,HD 166724,303,1,4,0.334719,42.3
HD 97658 b,2.25,HD 97658,520,1,4,0.341584,21.1
Kepler-229 b,2.2,Kepler-229,695,1,4,0.328561,
Kepler-229 c,4.92,Kepler-229,695,1,4,0.328561,
Kepler-229 d,3.84,Kepler-229,695,1,4,0.328561,
Kepler-57 b,2.24,Kepler-57,929,1,4,0.335025,
Kepler-57 c,1.57,Kepler-57,929,1,4,0.335025,
HAT-P-18 b,10.61,HAT-P-18,135,1,4,0.259444,166
HD 156668 b,1.58,HD 156668,288,1,4,0.257349,24.5
HD 204941 b,7.42,HD 204941,353,1,4,0.303937,27
HIP 116454 b,2.53,HIP 116454,528,1,4,0.308493,55.2
Kepler-152 b,2.79,Kepler-152,608,1,4,0.311705,
Kepler-152 c,2.39,Kepler-152,608,1,4,0.311705,
Kepler-237 b,1.41,Kepler-237,704,1,4,0.259691,
Kepler-237 c,2.08,Kepler-237,704,1,4,0.259691,
Kepler-306 b,1.52,Kepler-306,780,1,4,0.280142,
Kepler-306 c,2.35,Kepler-306,780,1,4,0.280142,
Kepler-306 d,2.46,Kepler-306,780,1,4,0.280142,
Kepler-306 e,2.27,Kepler-306,780,1,4,0.280142,
Kepler-309 b,1.56,Kepler-309,783,1,4,0.22948,
Kepler-309 c,2.51,Kepler-309,783,1,4,0.22948,
Kepler-330 b,1.34,Kepler-330,807,1,4,0.318872,
Kepler-330 c,1.95,Kepler-330,807,1,4,0.318872,
Kepler-332 b,1.16,Kepler-332,809,1,4,0.280369,
Kepler-332 c,1.09,Kepler-332,809,1,4,0.280369,
Kepler-332 d,1.18,Kepler-332,809,1,4,0.280369,
Kepler-362 b,0.88,Kepler-362,841,1,4,0.521998,
Kepler-362 c,1.44,Kepler-362,841,1,4,0.521998,
KIC-6436029 b,3.07,KIC-6436029,981,1,4,0.226379,
14 Her b,11.68,14 Her,4,1,4,0.357817,18.1
GJ 676A b,11.68,GJ 676A,111,1,4,0.100405,16.45
GJ 676A c,11.56,GJ 676A,111,1,4,0.100405,16.45
GJ 676A d,1.6,GJ 676A,111,1,4,0.100405,16.45
GJ 676A e,3.86,GJ 676A,111,1,4,0.100405,16.45
HD 162020 b,11.32,HD 162020,296,1,4,0.246147,31.26
Qatar-2 b,12.81,Qatar-2,1063,1,4,0.21233,
CT Cha b,24.64,CT Cha,76,1,4,0.30688,165
HAT-P-12 b,10.69,HAT-P-12,128,1,4,0.205541,142.5
HD 142022 A b,11.68,HD 142022 A,262,1,4,0.374148,35.87
HIP 12961 b,8.04,HIP 12961,529,1,4,0.096262,23
Kepler-121 b,2.34,Kepler-121,575,1,4,0.349777,
Kepler-121 c,2.27,Kepler-121,575,1,4,0.349777,
Kepler-167 b,1.44,Kepler-167,624,1,4,0.232596,
Kepler-167 c,1.37,Kepler-167,624,1,4,0.232596,
Kepler-28 b,3.58,Kepler-28,751,1,4,0.195136,
Kepler-28 c,3.36,Kepler-28,751,1,4,0.195136,
Kepler-443 b,2.33,Kepler-443,911,1,4,0.217,779
WASP-98 b,12.32,WASP-98,1186,1,4,0.409652,
BD-17 63 b,11.68,BD-17 63,38,1,4,0.210934,34.6
HAT-P-20 b,9.71,HAT-P-20,137,1,4,0.192642,70
Kepler-210 b,3.83,Kepler-210,675,1,4,0.146037,
Kepler-210 c,4.88,Kepler-210,675,1,4,0.146037,
Kepler-304 b,2.86,Kepler-304,778,1,4,0.213993,
Kepler-304 c,2.17,Kepler-304,778,1,4,0.213993,
Kepler-304 d,2.74,Kepler-304,778,1,4,0.213993,
Kepler-367 b,1.3,Kepler-367,846,1,4,0.210219,
Kepler-367 c,1.2,Kepler-367,846,1,4,0.210219,
Kepler-436 b,2.73,Kepler-436,903,1,4,0.199,618
HD 192310 b,4.77,HD 192310,339,1,4,0.290477,8.91
HD 192310 c,4.93,HD 192310,339,1,4,0.295478,8.82
HD 63454 b,11.87,HD 63454,463,1,4,0.226864,35.8
HIP 57274 b,3.86,HIP 57274,533,1,4,0.1923,25.92
HIP 57274 c,8.4,HIP 57274,533,1,4,0.1923,25.92
HIP 57274 d,8.96,HIP 57274,533,1,4,0.1923,25.92
Kepler-224 b,1.39,Kepler-224,690,1,4,0.263045,
Kepler-224 c,3.11,Kepler-224,690,1,4,0.263045,
Kepler-224 d,2.3,Kepler-224,690,1,4,0.263045,
Kepler-224 e,1.97,Kepler-224,690,1,4,0.263045,
Kepler-399 b,0.96,Kepler-399,881,1,4,0.380181,
Kepler-399 c,1.43,Kepler-399,881,1,4,0.380181,
Kepler-399 d,1.89,Kepler-399,881,1,4,0.380181,
Kepler-202 b,1.62,Kepler-202,666,1,4,0.191233,
Kepler-202 c,1.85,Kepler-202,666,1,4,0.191233,
Kepler-220 b,0.81,Kepler-220,686,1,4,0.185402,
Kepler-220 c,1.57,Kepler-220,686,1,4,0.185402,
Kepler-220 d,0.97,Kepler-220,686,1,4,0.185402,
Kepler-220 e,1.33,Kepler-220,686,1,4,0.185402,
Kepler-241 b,2.33,Kepler-241,709,1,4,0.196364,
Kepler-241 c,2.56,Kepler-241,709,1,4,0.196364,
Kepler-354 b,1.84,Kepler-354,832,1,4,0.187977,
Kepler-354 c,1.31,Kepler-354,832,1,4,0.187977,
Kepler-354 d,1.24,Kepler-354,832,1,4,0.187977,
Kepler-378 b,0.75,Kepler-378,858,1,4,0.190088,
Kepler-378 c,0.69,Kepler-378,858,1,4,0.190088,
Kepler-383 b,1.32,Kepler-383,864,1,4,0.198209,
Kepler-383 c,1.24,Kepler-383,864,1,4,0.198209,
Kepler-437 b,2.14,Kepler-437,904,1,4,0.173,417
WASP-43 b,11.6,WASP-43,1135,1,4,0.166608,
HD 285507 b,10.11,HD 285507,407,1,4,0.158747,41.3
Kepler-159 b,2.37,Kepler-159,615,1,4,0.178824,
Kepler-159 c,3.4,Kepler-159,615,1,4,0.178824,
HD 40307 b,1.56,HD 40307,432,1,4,0.233304,12.8
HD 40307 c,1.78,HD 40307,432,1,4,0.233304,12.8
HD 40307 d,1.96,HD 40307,432,1,4,0.233304,12.8
HD 40307 e,1.5,HD 40307,432,1,4,0.233304,12.8
HD 40307 f,1.68,HD 40307,432,1,4,0.233304,12.8
HD 40307 g,1.82,HD 40307,432,1,4,0.233304,12.8
Kepler-114 b,1.18,Kepler-114,567,1,4,0.148647,
Kepler-114 c,1.6,Kepler-114,567,1,4,0.148647,
Kepler-114 d,2.53,Kepler-114,567,1,4,0.148647,
Kepler-16(AB) b,8.44,Kepler-16(AB),616,1,4,0.148647,
Kepler-80 b,2.35,Kepler-80,954,1,4,0.170072,
Kepler-80 c,2.58,Kepler-80,954,1,4,0.170072,
Kepler-80 d,1.4,Kepler-80,954,1,4,0.170072,
Kepler-80 e,1.5,Kepler-80,954,1,4,0.170072,
Kepler-80 f,1.3,Kepler-80,954,1,4,0.170072,
KIC-12557548 b,0.85,KIC-12557548,974,1,4,0.143634,470
HD 20781 b,3.93,HD 20781,356,1,4,0.459205,35.4
HD 20781 c,4.3,HD 20781,356,1,4,0.459205,35.4
HD 215152 b,1.41,HD 215152,369,1,4,0.256376,21.5
HD 215152 c,1.45,HD 215152,369,1,4,0.256376,21.5
Kepler-124 b,0.73,Kepler-124,578,1,4,0.226758,
Kepler-124 c,1.75,Kepler-124,578,1,4,0.226758,
Kepler-124 d,1.11,Kepler-124,578,1,4,0.226758,
Kepler-62 b,1.31,Kepler-62,935,1,4,0.200138,368
Kepler-62 c,0.54,Kepler-62,935,1,4,0.200138,368
Kepler-62 d,1.95,Kepler-62,935,1,4,0.200138,368
Kepler-62 e,1.61,Kepler-62,935,1,4,0.200138,368
Kepler-62 f,1.41,Kepler-62,935,1,4,0.200138,368
WASP-80 b,10.66,WASP-80,1174,1,4,0.105116,60
HAT-P-54 b,10.57,HAT-P-54,173,1,4,0.126858,135.8
Kepler-155 b,2.08,Kepler-155,611,1,4,0.142432,
Kepler-155 c,2.24,Kepler-155,611,1,4,0.142432,
Kepler-158 b,2.12,Kepler-158,614,1,4,0.157532,
Kepler-158 c,1.9,Kepler-158,614,1,4,0.157532,
Kepler-174 b,1.96,Kepler-174,633,1,4,0.195593,360
Kepler-174 c,1.49,Kepler-174,633,1,4,0.195593,360
Kepler-174 d,2.18,Kepler-174,633,1,4,0.195593,360
Kepler-345 b,0.74,Kepler-345,823,1,4,0.141928,
Kepler-345 c,1.2,Kepler-345,823,1,4,0.141928,
Kepler-61 b,2.15,Kepler-61,934,1,4,0.089801,326
Kepler-398 b,0.93,Kepler-398,880,1,4,0.136049,
Kepler-398 c,1.01,Kepler-398,880,1,4,0.136049,
WASP-59 b,10.08,WASP-59,1151,1,4,0.157624,125
HD 125595 b,4.06,HD 125595,236,1,4,0.181761,27.4
Kepler-26 b,3.58,Kepler-26,729,1,4,0.128069,
Kepler-26 c,3.58,Kepler-26,729,1,4,0.128069,
Kepler-26 e,2.41,Kepler-26,729,1,4,0.128069,
Kepler-27 b,4.03,Kepler-27,740,1,4,0.265564,
Kepler-27 c,4.93,Kepler-27,740,1,4,0.265564,
Kepler-388 b,0.81,Kepler-388,869,1,4,0.127841,
Kepler-388 c,0.86,Kepler-388,869,1,4,0.127841,
Kepler-442 b,1.34,Kepler-442,910,1,4,0.117,342
Kepler-298 b,1.96,Kepler-298,771,1,4,0.119959,474
Kepler-298 c,1.93,Kepler-298,771,1,4,0.119959,474
Kepler-298 d,2.5,Kepler-298,771,1,4,0.119959,474
Kepler-55 b,2.46,Kepler-55,927,1,4,0.109267,
Kepler-55 c,2.24,Kepler-55,927,1,4,0.109267,
Kepler-55 d,1.59,Kepler-55,927,1,4,0.109267,
Kepler-55 e,1.55,Kepler-55,927,1,4,0.109267,
Kepler-55 f,1.59,Kepler-55,927,1,4,0.109267,
Kepler-81 b,2.54,Kepler-81,955,1,4,0.111429,
Kepler-81 c,2.45,Kepler-81,955,1,4,0.111429,
Kepler-81 d,1.21,Kepler-81,955,1,4,0.111429,
GJ 3470 b,4.19,GJ 3470,103,1,4,0.048618,30.7
HATS-6 b,11.18,HATS-6,186,1,4,0.056063,148.4
HD 6434 b,8.28,HD 6434,465,1,4,0.337912,40.32
Kepler-283 b,2.13,Kepler-283,755,1,4,0.104471,534
Kepler-283 c,1.81,Kepler-283,755,1,4,0.104471,534
KOI-2700 b,1.06,KOI-2700,995,1,4,0.114158,
MOA-2010-BLG-477L b,10.92,MOA-2010-BLG-477L,1012,1,4,0.201511,2300
EPIC 201367065 b,2.14,EPIC 201367065,80,1,4,0.065057,45
EPIC 201367065 c,1.72,EPIC 201367065,80,1,4,0.065057,45
EPIC 201367065 d,1.52,EPIC 201367065,80,1,4,0.065057,45
FW Tau b,11.57,FW Tau,89,1,4,0.032117,145
GJ 229 b,5.44,GJ 229,97,1,4,0.045066,5.75
Kepler-186 f,1.17,Kepler-186,648,1,4,0.055,172
Kepler-267 b,1.98,Kepler-267,737,1,4,0.092489,
Kepler-267 c,2.13,Kepler-267,737,1,4,0.092489,
Kepler-267 d,2.27,Kepler-267,737,1,4,0.092489,
Kepler-296 b,0.94,Kepler-296,769,1,4,0.091709,519
Kepler-296 c,2.15,Kepler-296,769,1,4,0.091709,519
Kepler-296 d,2.27,Kepler-296,769,1,4,0.091709,519
Kepler-395 b,1.03,Kepler-395,877,1,4,0.092837,
Kepler-395 c,1.32,Kepler-395,877,1,4,0.092837,
BD-061339 b,1.91,BD-061339,34,1,4,0.094876,20
BD-061339 c,6.46,BD-061339,34,1,4,0.094876,20
BD-061339 d,5.27,BD-061339,34,1,4,0.094876,20
HD 164604 b,11.5,HD 164604,300,1,4,0.188611,38
HIP 5158 b,10.86,HIP 5158,531,1,4,0.165358,45
HIP 5158 c,11.27,HIP 5158,531,1,4,0.165358,45
Kepler-205 b,1.51,Kepler-205,669,1,4,0.094613,
Kepler-205 c,1.64,Kepler-205,669,1,4,0.094613,
Kepler-235 b,2.23,Kepler-235,702,1,4,0.088964,
Kepler-235 c,1.28,Kepler-235,702,1,4,0.088964,
Kepler-235 d,2.05,Kepler-235,702,1,4,0.088964,
Kepler-235 e,2.22,Kepler-235,702,1,4,0.088964,
Kepler-252 b,1.23,Kepler-252,721,1,4,0.085098,
Kepler-252 c,2.15,Kepler-252,721,1,4,0.085098,
Kepler-440 b,1.86,Kepler-440,908,1,4,0.079,261
KIC-10905746 b,2.65,KIC-10905746,971,1,4,0.087079,
WISE 1711+3500 b,11.08,WISE 1711+3500,1191,1,4,0.000096,19
Kepler-138 c,1.61,Kepler-138,592,1,4,0.058745,
Kepler-138 d,1.61,Kepler-138,592,1,4,0.058745,
Kepler-83 b,2.34,Kepler-83,957,1,4,0.078363,
Kepler-83 c,1.94,Kepler-83,957,1,4,0.078363,
Kepler-83 d,1.94,Kepler-83,957,1,4,0.078363,
GJ 176 b,1.9,GJ 176,95,1,4,0.038691,9.42
HD 113538 b,8.1,HD 113538,220,1,4,0.099899,15.8
HD 113538 c,10.14,HD 113538,220,1,4,0.099899,15.8
HD 330075 b,11.87,HD 330075,418,1,4,0.395738,50.2
HD 85512 b,1.5,HD 85512,497,1,4,0.125971,11.15
Kepler-120 b,2.15,Kepler-120,574,1,4,0.070938,
Kepler-120 c,1.52,Kepler-120,574,1,4,0.070938,
Kepler-32 b,4.14,Kepler-32,795,1,4,0.058304,
Kepler-32 c,3.7,Kepler-32,795,1,4,0.058304,
Kepler-333 b,1.32,Kepler-333,810,1,4,0.082922,
Kepler-333 c,1.11,Kepler-333,810,1,4,0.082922,
Kepler-441 b,1.64,Kepler-441,909,1,4,0.089,284
Kepler-45 b,10.75,Kepler-45,916,1,4,0.071346,333
Kepler-49 b,2.69,Kepler-49,920,1,4,0.062857,
Kepler-49 c,2.58,Kepler-49,920,1,4,0.062857,
Kepler-49 d,1.6,Kepler-49,920,1,4,0.062857,
Kepler-49 e,1.56,Kepler-49,920,1,4,0.062857,
BD-114672 b,8.97,BD-114672,37,1,4,0.09729,27.3
CD-35 2722 b,10.24,CD-35 2722,47,1,4,0.044541,21.3
GJ 27.1 b,4.03,GJ 27.1,97,1,4,0.03833,23.99
GJ 849 b,10.07,GJ 849,115,1,4,0.014259,9.1
GJ 849 c,9.77,GJ 849,115,1,4,0.014259,9.1
Kepler-316 b,1.06,Kepler-316,791,1,4,0.075779,
Kepler-316 c,1.15,Kepler-316,791,1,4,0.075779,
Kepler-329 b,1.4,Kepler-329,805,1,4,0.079673,
Kepler-329 c,1.93,Kepler-329,805,1,4,0.079673,
Kepler-52 b,2.13,Kepler-52,924,1,4,0.066897,
Kepler-52 c,1.79,Kepler-52,924,1,4,0.066897,
Kepler-52 d,1.95,Kepler-52,924,1,4,0.066897,
Kepler-125 b,2.36,Kepler-125,579,1,4,0.049173,
Kepler-125 c,0.74,Kepler-125,579,1,4,0.049173,
Kepler-236 b,1.57,Kepler-236,703,1,4,0.046148,
Kepler-236 c,1.99,Kepler-236,703,1,4,0.046148,
Kepler-353 b,0.88,Kepler-353,831,1,4,0.05205,
Kepler-353 c,1.38,Kepler-353,831,1,4,0.05205,
Kepler-54 b,2.13,Kepler-54,926,1,4,0.042265,
Kepler-54 c,1.23,Kepler-54,926,1,4,0.042265,
Kepler-54 d,1.52,Kepler-54,926,1,4,0.042265,
Kepler-231 b,1.72,Kepler-231,698,0,3,0.043378,
Kepler-231 c,1.93,Kepler-231,698,0,3,0.043378,
Kepler-327 b,1.11,Kepler-327,803,0,3,0.04487,
Kepler-327 c,1.03,Kepler-327,803,0,3,0.04487,
Kepler-327 d,1.72,Kepler-327,803,0,3,0.04487,
Kepler-331 b,1.81,Kepler-331,808,0,3,0.07692,
Kepler-331 c,1.84,Kepler-331,808,0,3,0.07692,
Kepler-331 d,1.64,Kepler-331,808,0,3,0.07692,
Kepler-225 b,1.2,Kepler-225,691,0,3,0.037993,
Kepler-225 c,1.84,Kepler-225,691,0,3,0.037993,
Kepler-249 b,1.09,Kepler-249,717,0,3,0.033502,
Kepler-249 c,1.51,Kepler-249,717,0,3,0.033502,
Kepler-249 d,1.57,Kepler-249,717,0,3,0.033502,
Kepler-303 b,0.88,Kepler-303,777,0,3,0.050017,
Kepler-303 c,1.14,Kepler-303,777,0,3,0.050017,
KOI-4427 b,1.84,KOI-4427,997,0,3,0.043,240
Kepler-186 b,1.14,Kepler-186,648,0,3,0.041154,151
Kepler-186 c,1.34,Kepler-186,648,0,3,0.041154,151
Kepler-186 d,1.56,Kepler-186,648,0,3,0.041154,151
Kepler-186 e,1.33,Kepler-186,648,0,3,0.041154,151
Kepler-369 b,1.13,Kepler-369,848,0,3,0.032957,
Kepler-369 c,1.41,Kepler-369,848,0,3,0.032957,
GJ 3341 b,1.78,GJ 3341,102,0,3,0.028964,23.2
GJ 436 b,4.26,GJ 436,107,0,3,0.03558,10.2
Kepler-438 b,1.12,Kepler-438,905,0,3,0.037953,145
GJ 832 b,9.51,GJ 832,114,0,3,0.026036,4.95
GJ 832 c,1.69,GJ 832,114,0,3,0.026036,4.95
Gl 649 b,7.89,Gl 649,119,0,3,0.034123,10.34
Gl 649 c,1.96,Gl 649,119,0,3,0.034123,10.34
KOI-1843 b,0.58,KOI-1843,990,0,3,0.029977,
GJ 328 b,11.39,GJ 328,100,0,3,0.039567,19.8
GJ 3634 b,1.81,GJ 3634,104,0,3,0.02001,19.8
Kepler-296 e,1.48,Kepler-296,769,0,3,0.027,519
Kepler-296 f,1.75,Kepler-296,769,0,3,0.027,519
GJ 674 b,12.66,GJ 674,110,0,3,0.026583,4.54
Gl 687 b,4.53,Gl 687,120,0,3,0.021302,4.5
GJ 3293 b,4.94,GJ 3293,101,0,3,0.022085,18.2
GJ 3293 c,1.91,GJ 3293,101,0,3,0.022085,18.2
GJ 3293 d,4.82,GJ 3293,101,0,3,0.022085,18.2
GJ 163 b,3.77,GJ 163,94,0,3,0.021975,15
GJ 163 c,1.83,GJ 163,94,0,3,0.021975,15
Gj 163 d,4.81,GJ 163,94,0,3,0.021975,15
HIP 57050 b,7.67,HIP 57050,532,0,3,0.014865,11
HIP 70849 b,11.61,HIP 70849,536,0,3,0.040966,24
HIP 79431 b,11.31,HIP 79431,540,0,3,0.014613,14.4
EPIC 201912552 b,2.24,EPIC 201912552,82,0,3,0.020972,34
GJ 433 b,1.68,GJ 433,106,0,3,0.023178,8.88
GJ 433 c,6.07,GJ 433,106,0,3,0.023178,8.88
GJ 682 b,1.6,GJ 682,112,0,3,0.01132,5.08
GJ 682 c,1.92,GJ 682,112,0,3,0.01132,5.08
Gl 15 A b,1.69,Gl 15 A,116,0,3,0.021675,3.59
2M 0103(AB) b,11.4,2M 0103(AB),10,0,3,0.027955,47.2
2M 0122-2439 b,11.4,2M 0122-2439,11,0,3,0.027955,36
Gl 179 b,9.89,Gl 179,117,0,3,0.01671,12.3
Gliese 876 b,11.22,Gliese 876,122,0,3,0.014644,4.7
Gliese 876 c,9.37,Gliese 876,122,0,3,0.014644,4.7
Gliese 876 d,1.69,Gliese 876,122,0,3,0.014644,4.7
Gliese 876 e,3.96,Gliese 876,122,0,3,0.014644,4.7
DH Tau b,11.52,DH Tau,78,0,3,0.023366,
GJ 667C b,1.71,GJ 667C,109,0,3,0.0137,7.23
GJ 667C c,1.54,GJ 667C,109,0,3,0.0137,7.23
